,icao24,start,end
0,ab329e,0,355195
1,a085a4,2,129515
2,a81373,3,47286
3,a81373,141572,167302
4,accd8c,4,188563
5,a5949f,6,40120
6,a5949f,571561,797441
7,a209b9,10,503316
8,a5031a,11,421442
9,a8e0a5,13,768812
10,c815a9,16,435357
11,424383,19,1745945
12,a27a43,21,321397
13,a77f2d,28,55475
14,a83f2b,36,1254037
15,a810af,37,190704
16,a94ae5,42,1195479
17,a653f6,46,856550
18,aa9202,47,737049
19,a742ec,72,540711
20,504e44,77,495744
21,ace621,85,1363406
22,a2a5e4,87,738511
23,aa02ab,94,297829
24,49529a,103,312185
25,ab5fdf,109,158100
26,a2d92a,120,1093110
27,a42f51,124,1541283
28,a3f120,132,412390
29,a1ba0f,373260,404107
30,aaa9fb,144,1035802
31,a683a8,168,1458194
32,aba575,172,473792
33,780738,177,693498
34,a082fd,179,336442
35,abe0df,184,350755
36,8514f8,189,127999
37,abfd8c,198,457326
38,aa2abc,206,909208
39,a6eab4,214,1683326
40,a08a8f,216,405594
41,a08a8f,412185,813258
42,a04677,220,5983
43,a2c9ec,230,917076
44,abdcdc,246,1514272
45,a8fadf,248,14126
46,c81ea3,249,1441006
47,adf991,954124,1072385
48,06a2e1,252,519218
49,a105f2,258,1065127
50,aafbdf,259,601017
51,acbf63,265,129302
52,a83108,268,1414328
53,a826f1,271,571441
54,a9df2f,274,421241
55,a1bf3a,276,768212
56,a57bc6,277,1753718
57,a042db,283,960175
58,a46d95,284,975555
59,a890de,285,166994
60,7c7bd7,296,1066286
61,ac3078,306,60983
62,aa56b4,318,760052
63,3951c2,335,144161
64,ab6eb9,338,390278
65,a21f94,343,872859
66,a081ca,349,1563574
67,a12723,355,887238
68,a3cc82,357,783120
69,a8c44b,361,1166946
70,a50c3e,364,617908
71,a2b562,368,213281
72,e495de,381,670779
73,a8d2a8,390,189611
74,a8ad4e,391,1043144
75,a8ad4e,1049501,1457914
76,7c6dd7,395,828607
77,ab3d9a,411,229036
78,a3d87d,419,1737709
79,a871ec,424,826167
80,471f4b,426,1619811
81,a5ff57,427,280911
82,a5ff57,283182,466159
83,a5ff57,472400,1500860
84,a43ee5,432,1556749
85,a7c3c9,456,1399326
86,ad694c,462,885306
87,a828d3,465,321484
88,a2f366,467,715849
89,ab9078,485,1071463
90,a1f822,498,609710
91,a752ea,506,1078014
92,a7cdf6,507,466676
93,a8d4cc,509,678416
94,a34ecc,150975,157584
95,a641fd,516,1514360
96,780f3e,518,1613717
97,71be16,526,730510
98,acd9d0,12634,220456
99,a1110d,543,283193
100,a8aba8,553,924684
101,ac3c75,554,945041
102,c008c6,557,1710631
103,a78da1,526654,534441
104,a882f8,566,1240771
105,a33666,568,1441833
106,ac4e85,571,1131118
107,ac4e85,1161184,1166696
108,a960ca,587,228250
109,a36212,598,54161
110,a7debf,621,886411
111,aae371,623,1239757
112,a96157,627,1013264
113,a2033a,630,328931
114,a949a4,631,1035774
115,c87ee0,708695,714925
116,aa763f,641,692072
117,a32056,642,75153
118,48ae07,651,14223
119,a0ad1d,654,1585519
120,c058d5,655,1327366
121,a37efc,659,871837
122,c81ce6,663,496763
123,ab30f0,672,549548
124,ab30f0,564653,579822
125,c1e16f,527511,1484166
126,c06a58,676,142646
127,a3d0ce,681,1174939
128,a5738b,684,329576
129,a7ef40,711,1219527
130,a3948d,719,1182505
131,abb995,721,527790
132,a466d2,734,715041
133,a992e4,745,1256711
134,a08f6b,750,954593
135,a57afe,759,75778
136,7c4bf6,762,343090
137,a4f39b,765,1434602
138,a4f39b,1470995,1483619
139,a6c407,772,126943
140,a6c407,329632,389927
141,a6c407,814133,918321
142,abe579,773,190638
143,a0a457,779,1584521
144,a93ac8,789,6510
145,acb285,796,962165
146,a120f3,802,1662954
147,a9f87d,810,1555115
148,a0428a,816,1369840
149,a001f9,826,945401
150,ac9e77,828,1261824
151,a1a9f4,836,1021014
152,a1a9f4,1154087,1160387
153,a5e073,838,1019522
154,a976c7,845,129359
155,acab44,872,434235
156,aaf53a,883,1626704
157,a86a28,886,281543
158,a9508a,893,1175120
159,ad8c4c,899,479088
160,ab618b,902,707734
161,a63e0d,908,640182
162,ac7b8a,915,6890
163,a0a152,930,114109
164,a62a80,955,68120
165,a62a80,1521625,1526588
166,a16adc,961,1057057
167,a1ff83,963,33774
168,ac583f,969,768684
169,aa735a,982,797214
170,a9b0ed,989,1400561
171,e48273,993,1655093
172,a287a4,995,842319
173,e4851a,996,1455006
174,acfd29,997,1022239
175,ad14a8,999,1233327
176,a0be81,1008,236954
177,a99ed2,1011,1042060
178,06a107,1022,1092613
179,aa9eef,1024,273749
180,abfc71,1027,1500331
181,ac712d,1031,1463071
182,ac712d,1626595,1641813
183,c07fb9,1036,1521573
184,ae055f,1039,175465
185,ae055f,182486,1168320
186,ab39f0,1043,1139976
187,a3d890,1044,555376
188,a26025,1047,428053
189,a8cebc,83888,90872
190,a75dc7,1052,1297139
191,a30ffd,1054,1314589
192,a30ffd,1357997,1363448
193,a44533,1060,679045
194,adcce3,1062,909006
195,adcce3,916091,1117253
196,ab754e,1064,250981
197,a4d65c,1074,1021000
198,a03423,1082,1124192
199,c057db,1083,327243
200,ab628c,1097,358374
201,7805a9,1106,960462
202,c82284,1109,1540963
203,a3338c,1110,442394
204,a1bb1f,1114,1392503
205,a5f3cf,1115,813284
206,a88ab7,1122,142230
207,a09590,1124,404562
208,a5625b,1126,693623
209,ad1a4e,1127,1283611
210,a596c8,1131,533877
211,a9969b,1138,916619
212,acaa74,1144,767219
213,3c1ff3,134888,571698
214,3c1ff3,885469,917199
215,a7a616,1150,1282724
216,06a07f,1154,812092
217,a14d78,1157,112808
218,a14d78,1726064,1738234
219,ab7fee,1162,1377375
220,c052e0,1165,172659
221,474806,38653,82660
222,474806,685719,738523
223,474806,915448,998557
224,474806,1313459,1606298
225,a17c14,1177,159567
226,aa56b8,1183,312165
227,a4ad27,1192,1072498
228,abb810,1214,1018839
229,a83ef2,1219,389497
230,e49266,1221,903602
231,a4e1ec,1232,572572
232,a4fd0e,1238,1195551
233,c07c3d,1240,752087
234,a3a084,1256,466854
235,a3a084,480403,480848
236,ab7b99,1259,342801
237,a98f38,1270,1242229
238,4c01e1,1273,282700
239,ac4717,1278,933217
240,ac4717,1021334,1028703
241,a4414a,1286,639688
242,a7e318,1296,760904
243,a696d5,1299,316001
244,a095f0,1304,976105
245,451dbd,1314,458669
246,a0acf9,1321,587757
247,abda54,1330,588459
248,a8152b,1334,1239916
249,ab1628,1340,918039
250,a3db93,1344,449209
251,a92384,1349,1218528
252,a81001,1350,1478540
253,7c6d33,1360,1592459
254,4caf9a,1362,790430
255,3c4590,1363,141418
256,a63649,1368,280447
257,406f78,1372,938264
258,02013f,1375,542829
259,4240e7,1388,603439
260,4240e7,737396,738460
261,abaaa8,1392,1109704
262,a4b96d,1396,244129
263,aacfe9,1401,25119
264,a21127,1418,648219
265,a21127,754200,768366
266,a94105,1421,1619735
267,aaa2d3,1425,518289
268,aaa2d3,526214,527221
269,a80c87,1431,81949
270,a39bfa,1437,1271509
271,a69e6e,1439,1037546
272,abd932,1448,1155229
273,7c802d,1451,1358681
274,ab2f82,1454,131135
275,a3534a,1462,553018
276,06a038,1463,866407
277,06a30a,1466,596654
278,abd254,1483,131204
279,a376fe,1485,1415712
280,e47ed1,1487,1509326
281,a33272,1493,7319
282,a8d4d2,1494,1430684
283,a36994,1503,1643423
284,a15b46,1511,718931
285,0d0993,1513,1685017
286,ad35e0,1518,792907
287,a722db,1528,1508116
288,a43f51,1529,1111629
289,ab3c61,1530,331008
290,acd650,1531,1148539
291,acb59c,1533,1044207
292,acb59c,1045724,1088391
293,a6faca,1545,146344
294,8681b9,1548,1344398
295,ab8fee,1554,1565993
296,abaafe,1557,444986
297,ac82f5,1569,260808
298,a4ddca,1571,709683
299,a5ea9a,1581,1380660
300,a196c8,1594,22963
301,aac6ee,1596,679375
302,a651cb,1598,223407
303,a19b18,1602,1466024
304,c8195d,1607,1265708
305,a8e29c,1608,850863
306,adfdf2,1609,641186
307,ab7abc,1622,78086
308,a88e2e,1633,489541
309,a88fd5,1641,216107
310,ab23b5,1656,261314
311,a448db,1673,461535
312,a67c3a,1674,1467002
313,ab477d,1678,436991
314,3c1ff9,792070,1192070
315,a16af3,1680,278571
316,ab92a0,1684,1623594
317,abcedd,1689,611642
318,abe7e3,1691,1082580
319,a92362,1695,1198767
320,aae6e6,1699,536953
321,a133f8,1704,640796
322,a35aae,1720,658411
323,a12543,1725,1409102
324,7c6db2,1733,904888
325,a043ec,1737,649320
326,a07bef,1741,368106
327,a07bef,369748,528720
328,ab72b3,1745,330105
329,a091fd,1751,999486
330,a086ce,1753,1023782
331,ac64cf,1768,429232
332,ac64cf,551318,552266
333,06a2e9,1769,703741
334,a6cec4,1770,1510106
335,a27380,1772,307566
336,a1ad5a,1773,719120
337,a314d9,1775,619878
338,adfbe0,1776,446193
339,896353,1781,605238
340,a4e181,1788,853600
341,c8234f,1791,1635672
342,7c6d8e,1792,733470
343,aa9e4a,1799,1494030
344,aa72f5,1804,1658085
345,c0103a,1826,1000961
346,a22642,1835,672828
347,c053f6,1836,971949
348,a382b6,1851,323678
349,a3a9b6,1855,369217
350,a69894,1856,860466
351,a254f8,1867,544581
352,a1fb8f,1872,1734155
353,a1b4ab,1876,1685375
354,abef98,1879,145995
355,abac48,1914,1030486
356,a7d7f3,1916,1344901
357,a8bc13,1918,330239
358,a23d25,1923,1149614
359,a01805,1929,815446
360,adfbdd,36192,574547
361,adfbdd,1089441,1705162
362,a62e13,1936,837087
363,a537ed,1940,912757
364,a168f8,1945,1029095
365,ac3d94,1950,1523260
366,a88467,896829,898152
367,a56dcf,1965,123746
368,a56dcf,263094,268624
369,a51f4a,1966,1140218
370,a134d3,1976,78242
371,a1e6b9,1982,1352702
372,aa9f3f,1988,605303
373,ad60b7,1997,367809
374,a3c4d2,2002,582496
375,ab4b1a,2009,703246
376,a7133f,2015,238296
377,a40027,2017,883017
378,a76f68,2019,658034
379,a56e48,2026,1416348
380,a9ab2d,2027,277740
381,a26381,2032,1453195
382,ad2445,2036,1467042
383,c0054a,2044,1465600
384,a837a5,2049,1309064
385,a837a5,1436760,1452950
386,abdcfd,2072,1330114
387,a1c26e,2079,800420
388,ac121a,2088,731724
389,e495fc,2090,215250
390,aad72c,2093,1705900
391,a0851b,2096,444684
392,a002ec,2099,619865
393,abd536,2103,191575
394,abd536,1616033,1622494
395,acad53,2112,1657183
396,a5a665,2114,972003
397,a3414e,2116,642227
